fecha_operacion,fecha_valor,hoja,moneda,pais,bs_por_moneda_compra,bs_por_moneda_venta,publicado_en,archivo_fuente,url_fuente
2023-10-02,2023-10-03,02102023,EUR,Zona Euro,36.12234303,36.21287522,2023-10-02 15:33:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-02,2023-10-03,02102023,USD,E.U.A.,34.38192975,34.4681,2023-10-02 15:33:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-03,2023-10-04,03102023,EUR,Zona Euro,36.19887506,36.28959906,2023-10-03 17:09:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-03,2023-10-04,03102023,USD,E.U.A.,34.58182875,34.6685,2023-10-03 17:09:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-04,2023-10-05,04102023,EUR,Zona Euro,36.39039151,36.4815955,2023-10-04 16:30:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-04,2023-10-05,04102023,USD,E.U.A.,34.62651675,34.7133,2023-10-04 16:30:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-05,2023-10-06,05102023,EUR,Zona Euro,36.49531276,36.58677971,2023-10-05 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-05,2023-10-06,05102023,USD,E.U.A.,34.66302525,34.7499,2023-10-05 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-06,2023-10-09,06102023,EUR,Zona Euro,36.68167348,36.7736075,2023-10-06 15:19:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-06,2023-10-09,06102023,USD,E.U.A.,34.76935875,34.8565,2023-10-06 15:19:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
